Timestamp,"By clicking ""I Agree"" below, you confirm that:
You have read and understood the purpose of this survey.
You consent to participate in this survey.",  1. What is your age?   ,  2. What is your gender?  ,  3 How do you identify your ethnic background? (Select all that apply)  ,  4. What is your current employment status?   ,  5. How often do you feel that your workload is difficult to manage?  ,  6. How frequently do you experience feelings of burnout or exhaustion related to work?  ,"  7. In the past year, have you taken any days off specifically due to stress, anxiety, or mental health reasons?   ","  8. On an average, how many hours do you sleep per night?  ","  9. How many hours of physical activity (e.g., exercise, walking) do you engage in per week?   ",  10. Do you find it challenging to relax after work or other responsibilities?   ,  11. Have you experienced significant changes in your appetite or weight within the past three months?   ,  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Alcohol Consumption],  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Smoking],"  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Caffeine Intake (e.g., coffee, tea,energy drinks)]",  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Consumption of Sugary or High-Calorie Snacks],"  13. How often do you experience feelings of sadness, hopelessness, or mood swings?   ",15. Have you been diagnosed with a mental health disorder?  ,"14. Are you currently experiencing any mental health-related challenges (e.g., anxiety, depression, bipolar disorder, OCD, Sleep disorder,Postpartum, etc.)? ","  16. Do you have a family history of mental health disorders(e.g., Alzheimer's,Dementia,Sleep disorders ,Postpartum,Addiction to alcohol and drugs, etc.)?   ",  17. How satisfied are you with your current work-life balance?  ,  18. What coping strategies do you use to manage mental health or stress? (Select all that apply)  ,"  19. When faced with stress, how likely are you to seek help from a mental health professional?   ","  20. How often do you engage in activities specifically for relaxation (e.g., meditation, reading, etc)?  "
12/19/2024 14:57:30,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Often,Often,No,6 - 7 hours,Less than 1 hour,Sometimes,Yes,Never,Never,Regularly,Regularly,Weekly,No,No,Yes,Satisfied,"Journaling, Other",Very likely,Daily
12/19/2024 15:01:24,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Rarely,Rarely,No,8 - 9 hours,Less than 1 hour,Sometimes,No,Never,Never,Regularly,Regularly,Rarely,No,No,No,Neutral,Other,Very unlikely,Weekly
12/19/2024 15:54:23,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Rarely,Rarely,No,6 - 7 hours,Less than 1 hour,Sometimes,No,Never,Never,Rarely,Rarely,Monthly,No,No,No,Satisfied,Physical activity,Likely,Never
12/19/2024 15:54:42,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,Yes,8 - 9 hours,3 - 4 hours,Sometimes,No,Never,Never,Never,Never,Monthly,No,No,No,Satisfied,Other,Neutral,Daily
12/19/2024 17:17:41,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Often,Often,Yes,6 - 7 hours,Less than 1 hour,Sometimes,Yes,Occasionally,Rarely,Regularly,Occasionally,Daily,No,No,Yes,Dissatisfied,Social support,Neutral,Rarely
12/19/2024 17:18:20,I Agree,35-44,Male,"African (e.g., Nigeria, Kenya, Egypt)",Part-time,Often,Never,No,6 - 7 hours,1 - 2 hours,Rarely,No,Occasionally,Never,Occasionally,Rarely,Monthly,No,No,No,Neutral,Other,Very unlikely,Never
12/19/2024 17:38:58,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Often,No,6 - 7 hours,Less than 1 hour,Often,Yes,Never,Never,Rarely,Regularly,Weekly,No,No,No,Dissatisfied,"Journaling, Avoidance",Unlikely,Rarely
12/19/2024 21:01:51,I Agree,35-44,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,6 - 7 hours,1 - 2 hours,Rarely,No,Occasionally,Never,Regularly,Occasionally,Never,No,No,No,Satisfied,"Physical activity, Social support",Very likely,Weekly
12/19/2024 22:08:23,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Often,Often,Yes,4 - 5 hours,Less than 1 hour,Often,Yes,Rarely,Never,Occasionally,Occasionally,Weekly,Yes,Prefer not to say,No,Neutral,"Physical activity, Social support, Meditation, Journaling, Avoidance",Very likely,Weekly
12/20/2024 8:25:30,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Always,Yes,Never,Never,Regularly,Regularly,Weekly,Yes,Yes,No,Satisfied,"Physical activity, Social support, Meditation",Neutral,Weekly
